request|status_code|response_size|response_time|city_id|change_latitude|current_latitude|type|newSearch|listType
POST|200|13131|5.856|33134|29.9367695|29.9367695|||
GET|200|2159|148.377|33134|29.9367695|29.9367695|||
POST|200|13131|6.297|33134|29.9367695|29.9367695|City|1.0|search
POST|200|13131|5.576|33134|29.9367695|29.9367695|City|1.0|search
GET|200|2159|155.084|33134|29.9367695|29.9367695|||
GET|200|1008|102.561|33134|29.9367695|29.9367695|||
POST|200|13131|5.240|33134|29.9367695|29.9367695|||
POST|200|13131|8.317|33134|29.9367343|29.9367343|City|1.0|search
POST|200|13131|10.779|33134|29.9367343|29.9367343|||
GET|200|2693|161.738|33134|29.9367343|29.9367343|||
POST|200|12440|7.017|424|51.5073509|29.9367343|||
POST|200|13131|5.459|424|51.5073509|29.9367343|City|1.0|search
GET|200|2930|2383.819|424|51.5073509|29.9367343|||
POST|200|13131|5.790|33134|29.9429587|0|||
GET|200|2628|120.376|33134|29.9429587|0|||
POST|200|12812|7.747|427|25.2048493|0|||
POST|200|13131|6.255|427|25.2048493|0|City|0.0|search
GET|200|2831|1256.763|427|25.2048493|0|||
POST|200|2101|182.978||25.2048493|0|||
POST|200|2469|147.579||25.2048493|0|||
POST|200|764|165.127||25.2048493|0|||
POST|200|1752|2768.837||25.2048493|0|||
POST|200|13131|7.876|33134|29.9429587|0|||
POST|200|13131|9.411|33134|29.9429587|0|City|0.0|search
GET|200|2628|129.232|33134|29.9429587|0|||
POST|200|13131|14.652|33134|29.9429587|0|||
GET|200|2628|128.238|33134|29.9429587|0|||
POST|200|13131|6.794|33134|29.9429587|0|||
GET|200|2628|127.307|33134|29.9429587|0|||
POST|200|12812|6.071|427|25.2048493|0|||
POST|200|13131|13.278|427|25.2048493|0|City|0.0|search
GET|200|2831|1254.878|427|25.2048493|0|||
POST|200|81|6.581||||||
GET|200|134|3.569|427|25.2048493|0|||
GET|200|134|3.073|33134|29.9429587|19.1180825|||
POST|200|81|7.492||||||
POST|200|81|6.470||||||
GET|200|134|3.075|427|25.2048493|0|||
